Track,Assay,subGroup,shortLabel,longLabel,showinHub
1M1_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP4,H3K27ac ChIP,1M1 GROUP4 H3K27Ac,Y
D425_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP3,H3K27ac ChIP,D425 GROUP3 H3K27Ac,Y
HD-MB03_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP3,H3K27ac ChIP,HD-MB03 GROUP3 H3K27Ac,Y
MB-1M21_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP3,H3K27ac ChIP,MB-1M21 GROUP3 H3K27Ac,Y
MB-4M23_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP3,H3K27ac ChIP,MB-4M23 GROUP3 H3K27Ac,Y
MB-4M26_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP3,H3K27ac ChIP,MB-4M26 GROUP3 H3K27Ac,Y
MB-4M77_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP3,H3K27ac ChIP,MB-4M77 GROUP3 H3K27Ac,Y
MB110_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP4,H3K27ac ChIP,MB110 GROUP4 H3K27Ac,Y
MB113_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,WNT,H3K27ac ChIP,MB113 WNT H3K27Ac,Y
MB12_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,SHH,H3K27ac ChIP,MB12 SHH H3K27Ac,Y
MB129_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP4,H3K27ac ChIP,MB129 GROUP4 H3K27Ac,Y
MB176_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,WNT,H3K27ac ChIP,MB176 WNT H3K27Ac,Y
MB18_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP3,H3K27ac ChIP,MB18 GROUP3 H3K27Ac,Y
MB19_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP4,H3K27ac ChIP,MB19 GROUP4 H3K27Ac,Y
MB200_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,WNT,H3K27ac ChIP,MB200 WNT H3K27Ac,Y
MB206_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,SHH,H3K27ac ChIP,MB206 SHH H3K27Ac,Y
MB26_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,GROUP4,H3K27ac ChIP,MB26 GROUP4 H3K27Ac,Y
MB28_H3K27Ac_treat_afterfiting_all.bw,H3K27AC,SHH,H3K27ac ChIP,MB28 SHH H3K27Ac,Y
